step,loss,grad_norm,learning_rate,num_tokens,completions_mean_length,completions_min_length,completions_max_length,completions_clipped_ratio,completions_mean_terminated_length,completions_min_terminated_length,completions_max_terminated_length,rewards_format_reward_func_mean,rewards_format_reward_func_std,rewards_correctness_reward_func_mean,rewards_correctness_reward_func_std,rewards_cosine_length_penalty_func_mean,rewards_cosine_length_penalty_func_std,rewards_intermediate_overlap_reward_func_mean,rewards_intermediate_overlap_reward_func_std,reward,reward_std,frac_reward_zero_std,completion_length,kl,clip_ratio_low_mean,clip_ratio_low_min,clip_ratio_high_mean,clip_ratio_high_max,clip_ratio_region_mean,epoch
52,2.980232238769531e-07,0.11914341151714325,2.847932752400164e-06,178654.0,219.875,172.0,325.0,0.0,219.875,172.0,325.0,0.0,0.0,0.0,0.0,-0.16427579522132874,0.2877749800682068,0.0,0.0,-0.16427579522132874,0.2341541051864624,0.0,219.875,0.0002457975240304222,0.0,0.0,0.0,0.0,0.0,0.013918629550321198
53,2.2351741790771484e-08,0.10094952583312988,2.761321158169134e-06,182355.0,378.125,247.0,512.0,0.25,333.5,247.0,430.0,0.0,0.0,0.0,0.0,-0.8166715502738953,0.24249662458896637,0.0,0.0,-0.8166715502738953,0.17169690132141113,0.0,378.125,1.2986357830868656e-05,0.0,0.0,0.0,0.0,0.0,0.014186295503211991
54,1.043081283569336e-07,0.08888810127973557,2.6743911843603134e-06,185404.0,297.625,180.0,455.0,0.0,297.625,180.0,455.0,0.0,0.0,0.0,0.0,-0.48298996686935425,0.4206216037273407,0.0,0.0,-0.48298996686935425,0.38688045740127563,0.0,297.625,7.858984037056871e-05,0.0,0.0,0.0,0.0,0.0,0.014453961456102784
55,2.9802322387695312e-08,0.0926276296377182,2.587248741756253e-06,187742.0,217.25,174.0,372.0,0.0,217.25,174.0,372.0,0.0,0.0,0.0,0.0,-0.15568193793296814,0.28790000081062317,0.0,0.0,-0.15568193793296814,0.2008022964000702,0.0,217.25,5.296001484111912e-05,0.0,0.0,0.0,0.0,0.0,0.014721627408993576
56,1.2293457984924316e-07,0.11328655481338501,2.5e-06,191019.0,332.125,226.0,512.0,0.125,306.4285888671875,226.0,504.0,0.0,0.0,0.0,0.0,-0.5284712910652161,0.39308902621269226,0.0,0.0,-0.5284712910652161,0.18241021037101746,0.0,332.125,1.258218514976761e-05,0.0,0.0,0.0,0.0,0.0,0.014989293361884369
57,1.043081283569336e-07,0.08197250217199326,2.4127512582437486e-06,194021.0,286.75,245.0,360.0,0.0,286.75,245.0,360.0,0.0,0.0,0.0,0.0,-0.39137905836105347,0.21565338969230652,0.0,0.0,-0.39137905836105347,0.166512131690979,0.0,286.75,1.5930718603840432e-05,0.0,0.0,0.0,0.0,0.0,0.015256959314775161
58,1.9371509552001953e-07,0.07184164226055145,2.325608815639687e-06,197389.0,342.0,246.0,512.0,0.125,317.71429443359375,246.0,421.0,0.0,0.0,0.0,0.0,-0.5245273113250732,0.33492210507392883,0.0,0.0,-0.5245273113250732,0.29045701026916504,0.0,342.0,0.0001714067687998977,0.0,0.0,0.0,0.0,0.0,0.015524625267665952
59,1.30385160446167e-07,0.06908519566059113,2.238678841830867e-06,200923.0,361.25,228.0,512.0,0.25,311.0,228.0,425.0,0.0,0.0,0.0,0.0,-0.5388561487197876,0.4240642189979553,0.0,0.0,-0.5388561487197876,0.20571507513523102,0.0,361.25,5.787968973436364e-05,0.0,0.0,0.0,0.0,0.0,0.015792291220556746
60,2.0116567611694336e-07,0.13339892029762268,2.1520672475998374e-06,203363.0,217.0,128.0,293.0,0.0,217.0,128.0,293.0,0.0,0.0,0.0,0.0,-0.12177830934524536,0.11787517368793488,0.0,0.0,-0.12177830934524536,0.0885206088423729,0.0,217.0,0.00017887678865236012,0.0,0.0,0.0,0.0,0.0,0.016059957173447537
61,1.043081283569336e-07,0.17823271453380585,2.0658795558326745e-06,207076.0,353.125,211.0,452.0,0.0,353.125,211.0,452.0,0.0,0.0,0.0,0.0,-0.8039098978042603,0.29838621616363525,0.0,0.0,-0.8039098978042603,0.2583129107952118,0.0,353.125,7.557635444754851e-05,0.0,0.0,0.0,0.0,0.0,0.016327623126338328
